Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
Kaug-Põhja,Kaug-Põhja,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Frystdömet,Pyhätmetsät,,Clankar Cog,Stortingr Republik af Frystdömet,8,Pyhätmetsät,"3,062.50",Remid Republic,"11,728.75",Tautaspils,"2,782.50",Stortingr Republik af Frystdömet,"8,835.00",Clankar Cog,"2,650.00",Akaḣpetoƞ,"6,981.25",Vorokov,"3,632.75",Araybattahya ,"3,475.00",,,,,,,,,,,,,,,"43,147.75",0.95,"40,990.36",1,1,2,8
Pyhätmetsät,Pyhätmetsät,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Remid,Kaug-Põhja,,,,6,Kaug-Põhja,"2,650.00",Remid Republic,"11,728.75",Akaḣpetoƞ,"6,981.25",Arethousa,"5,264.19",Malekate of Opolexion,"2,650.00",,,,,,,,,,,,,,,,,,,,,"29,274.19",1.00,"29,274.19",1,1,0,5
Kingdom of the Aurore,Kingdom of the Aurore,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Araybattahya,Remid Republic,Araybattahya ,Arethousa,State of Aburrido,8,Free City of Zephyrabad,"9,718.50",The Kingdom of Zahar,"4,410.00",Grand Principality of Onica,"4,300.00",Arethousa,"5,264.19",State of Aburrido,"4,276.25",Remid Republic,"11,728.75",Araybattahya ,"3,475.00",Meridomus Kalleprii,"4,730.00",,,,,,,,,,,,,,,"47,902.69",0.75,"35,927.02",1,2,2,8
Araybattahya ,Araybattahya ,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Arethousa, Kingdom of the Aurore",Kingdom of the Aurore,,Tautaspils,,7,Arethousa,"5,264.19",Tautaspils,"2,782.50",Akaḣpetoƞ,"6,981.25",Kaug-Põhja,"2,650.00",Kingdom of the Aurore,"6,370.00",The Gilded City,"4,709.38",Xiboda,"8,098.75",Malekate of Opolexion,,,,,,,,,,,,,,,,"36,856.06",1.05,"38,698.87",2,1,1,7
Morchandor,Morchandor,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Ascendant Regency of Newstar,Ascendant Regency of Newstar,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Statute of Order,The Kingdom of Sk'o'chapr,Hadastan Commenwealth,Republic of Rostora,9,The Statute of Order,"4,462.50",Hadastan Commenwealth,"8,503.69",The Kingdom of Sk'o'chapr,"4,049.38",Him Maliataki,"2,000.00",,,,,,,,,,,,,,,,,,,,,,,"19,015.56",0.95,"18,064.78",0,2,2,4
Magoen Lurraldea,Magoen Lurraldea,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Erub-Kai,,,,,6,Lauzydos,"4,730.00",Alapadana,"2,186.25",The Awakened,"4,462.50",Free City of Erub-Kai,"8,098.75",The Safeguard,"4,730.00",,,,,,,,,,,,,,,,,,,,,"24,207.50",1.25,"30,259.38",1,0,0,5
Lohiida Dathinaal,Lohiida Dathinaal,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Ashdayn,Tetóth Kegeth,8,Exodists of Amunkedat,"3,062.50",Kup,"3,062.50",Ashdayn,"4,300.00",Colmea,"3,362.50",Akalikania,"3,368.75",Scarcojiu,"2,186.25",,,,,,,,,,,,,,,,,,,"19,342.50",0.95,"18,375.38",0,0,2,6
Vantira,Vantira,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,strayixna,,,Natałor,,5,Stryaxina,"4,006.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,006.25",1.25,"5,007.81",1,0,1,1
Republic of Rostora,Republic of Rostora,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Cassion,Cassion,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Clan of Skye ,Clan of Skye ,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Tarmarches,The State of Iskura,Grand Principality of Onica,,9,Grand Principality of Onica,"4,300.00",Thaandom of Fangkar,"6,362.50",The State of Iskura,"4,049.38",Soroner,"3,225.00",Khyxwuz,"4,462.50",The Tarmarches,"5,060.00",Kingdom of Aeornia,"5,264.19",Elyen-Mev,"4,450.00",Mébian Confederation,"4,300.00",,,,,,,,,,,,,"41,473.56",0.95,"39,399.88",0,2,1,9
Shiny Taking,Shiny Taking,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,Stryaxina,"4,006.25",Kingdom of Ardungual,"6,545.00",Tsûa Lâng,"6,998.75",,,,,,,,,,,,,,,,,,,,,,,,,"17,550.00",1.00,"17,550.00",0,0,0,3
Xriotir,Xriotir,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Malo'Sami,Malo'Sami,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Sancta Discordia,,5,Sancta Discordia,"6,998.75",Snow Dominion,"5,301.00",The Statute of Order,"4,462.50",Maatada Istara,"4,462.50",,,,,,,,,,,,,,,,,,,,,,,"21,224.75",1.25,"26,530.94",0,0,1,4
The Trade Families of Kemakmura,The Trade Families of Kemakmura,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,12,Kh'nûll Diocese,"3,062.50",Akali,"5,078.91",Mach Republic,"5,390.00",Maa,"5,160.00",Kingdom of Járnfjall,"5,950.00",Remid Republic,"11,728.75",Audgunn,"5,726.25",Iidunn,"3,225.00",Diogen,"4,300.00",Zalmoxia,"3,675.00",Meadoia Dynasty,"3,710.00",Kingdom of Jasper,"5,948.25",,,,,,,"62,954.66",0.75,"47,215.99",0,0,0,12
Caesnauka Empire,Caesnauka Empire,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Iidunn,Iidunn,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Diogen,Kingdom of Mimgrond,9,The Animal Kingdom,"4,657.50",Ewig Republic,"3,062.50",The Lakarish Kingdom of Olkmania,"6,156.25",,,Diogen,"4,300.00",Kingdom of Járnfjall,"5,950.00",,,,,,,,,,,,,,,,,,,"24,126.25",0.95,"22,919.94",0,0,2,5
Remid Republic,Remid Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Pyhatmetsat,Tautaspils,Kingdom of the Aurore,Akaḣpetoƞ,Velken Bulwark,10,Kaug-Põhja,"2,650.00",Stortingr Republik af Frystdömet,"8,835.00",Pyhätmetsät,"3,062.50",Carcukhanate,"5,950.00",Tautaspils,"2,782.50",Akaḣpetoƞ,"6,981.25",Velken Bulwark,"4,300.00",Kingdom of the Aurore,"6,370.00",The Trade Families of Kemakmura,"12,369.00",Principality of Skanderborg,"6,221.31",,,,,,,,,,,"59,521.56",0.95,"56,545.48",1,2,2,10
Amethyst Clan,Amethyst Clan,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,Audgunn,"5,726.25",Commonwealth of Gonaria,"4,042.50",Krosen Dynasty,"3,047.50",,,Khyxwuz,"4,462.50",Hrvolan Qaris,"6,362.50",,,,,,,,,,,,,,,,,,,"23,641.25",0.95,"22,459.19",0,0,0,5
The Lakarish Kingdom of Olkmania,The Lakarish Kingdom of Olkmania,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Murenman,,,,7,Elphonsa,"2,296.88",Murenman,"4,049.38",Nournourlant,"4,462.50",Iidunn,"3,225.00",Great Host of the Unconquered Sun,"3,675.00",,,,,,,,,,,,,,,,,,,,,"17,708.75",1.00,"17,708.75",0,1,0,5
Serenissima Res Publica Di Ghalivi,Serenissima Res Publica Di Ghalivi,City State of Kido,,,,,,,,Mercantile,1.00,47.56%,47.56%,32.53%,32.53%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Azaric,Divine Tides,Snow Dominion,,,,,9,Snow Dominion,"5,301.00",Kingdom of Lyroa,"3,368.75",The Free Cities of Cupiditas,"18,141.00",Nuanta,"3,475.00",Hui Kai,"11,231.83",,,,,,,,,,,,,,,,,,,,,"41,517.58",0.95,"39,441.70",1,0,0,5
Raaspazzlivatl,Raaspazzlivatl,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Tavir,Tavir,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Nāšā Qaḏmāyā,,8,Nāšā Qaḏmāyā,"3,870.00",Tsûa Lâng,"6,998.75",Pólitonskóron,"7,896.28",The Nema Pact,"2,296.88",Rokmar Camp,"3,475.00",,,,,,,,,,,,,,,,,,,,,"24,536.91",0.95,"23,310.06",0,0,1,5
United Federation of Malam States,United Federation of Malam States,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Sajuanelhi,"9,603.75",Vitten,"3,368.75",Ceridwyn Teulu,"5,053.75",Drionn Galith,"4,730.00",Dinasygan,"3,831.25",Saholnahes Ceuluanas,"2,718.75",,,,,,,,,,,,,,,,,,,"29,306.25",1.05,"30,771.56",0,0,0,6
Natałor,Natałor,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Second Temple, Rokmar",,,Cheiraa Ousenika,Vantira,6,Cheiraa Ousenika,"1,150.00",Vantira,"6,125.00",Second State of Los,"4,300.00",Pavellion,"4,785.63",,,,,,,,,,,,,,,,,,,,,,,"16,360.63",1.25,"20,450.78",2,0,2,4
The Gavi’ Kingdom,The Gavi’ Kingdom,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,The Kingdom of Zahar,,8,Free City of Zephyrabad,"9,718.50",Enushkan Ur Kaash'shum,"2,650.00",Carcukhanate,"5,950.00",The Kingdom of Zahar,"4,410.00",Kingdom of the Aurore,"6,370.00",Federation of Tlo'tsaa,"4,093.75",Arethousa,"5,264.19",,,,,,,,,,,,,,,,,"38,456.44",0.95,"36,533.62",0,0,1,7
Kinh Nam City-State,Kinh Nam City-State,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Yeotang,,Kingdom of Gallacia,Elphonsa,Imperial City of Soria,9,Kingdom of Gallacia,"5,652.50",Imperial City of Soria,"4,049.38",Republic o. Zuntirar,"9,933.00",Yeotang,"4,687.50",Kh'nûll Diocese,"3,062.50",Elphonsa,"2,296.88",,,Mach Republic,"5,390.00",,,,,,,,,,,,,,,"35,071.75",0.95,"33,318.16",1,1,2,7
Mhawm Meung Ssok Nyieat Qux Si,Mhawm Meung Ssok Nyieat Qux Si,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Lună sângeroasă,Lună sângeroasă,,"98,317.89","162,534.46",60.49%,"24,676.44","52,140.00",47.33%,21.56%,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Akalikania,Colmea,Scarcojiu,,8,Royal City of Gevero,"5,742.75",Exodists of Amunkedat,"3,062.50",Karak Helhein,"4,785.63",Nuanta,"3,475.00",Tetóth Kegeth,"4,859.25",Colmea,"3,362.50",Goldmongers,"3,222.00",Akalikania,"3,368.75",,,,,,,,,,,,,,,"31,878.38",0.95,"30,284.46",0,2,1,8
Akaḣpetoƞ,Akaḣpetoƞ,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Meridomus Kalleprii,Tautaspils,Remid Republic,Velken Bulwark,10,Kaug-Põhja,"2,650.00",Araybattahya ,"3,475.00",Velken Bulwark,"4,300.00",Tautaspils,"2,782.50",Pyhätmetsät,"3,062.50",Remid Republic,"11,728.75",Free City of Erub-Kai,"8,098.75",Arethousa,"5,264.19",Meridomus Kalleprii,"4,730.00",,,,,,,,,,,,,"46,091.69",0.75,"34,568.77",0,2,2,9
The Awakened,The Awakened,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Citystate of Erub-Kai, Republic of Alyvosk",Kingdom of Jasper,Stortingr Republik af Frystdömet,Queendom of Edithia,Lublinex,8,Stortingr Republik af Frystdömet,"8,835.00",The Gilded City,"4,709.38",,,Magoen Lurraldea,"2,150.00",Kingdom of Jasper,"5,948.25",Queendom of Edithia,"2,650.00",The Jokers,"2,252.50",,,,,,,,,,,,,,,,,"26,545.13",0.95,"25,217.87",2,2,2,6
Lepnia,Lepnia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Cóchua Kingdom,The State of Iskura,Il-Esak'Chukhpelekh,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,2,1,0
Thaurinna,Thaurinna,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
Il-Esak'Chukhpelekh,Il-Esak'Chukhpelekh,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Lepnia,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,1,0
Goldmongers,Goldmongers,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Brotherhood of Dwarves, The Council of Dehurkjols",,,,,9,Karak Helhein,"4,785.63",Brotherhood of Dwarves,"3,062.50",Royal City of Gevero,"5,742.75",Council of Dehurkjols,"3,537.19",Svetograd,"5,160.00",Lună sângeroasă,"4,042.50",Imperial Theocracy of Borbenska,"2,100.00",Akali,"5,078.91",Akalikania,"3,368.75",,,,,,,,,,,,,"36,878.22",0.95,"35,034.31",2,0,0,9
M'Qili Confederacy,M'Qili Confederacy,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Nournourlant,Nournourlant,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,City of Soria,,,Scientarium,,9,Scientarium,"13,156.00",Kingdom of Mimgrond,"7,140.00",Maa,"5,160.00",The Amerian Republic,"8,466.88",The Lakarish Kingdom of Olkmania,"6,156.25",High City of Tirsil,"9,718.50",Hui Kai,"11,231.83",Pólitonskóron,"7,896.28",Murenman,"4,049.38",,,,,,,,,,,,,"72,975.11",0.95,"69,326.35",1,0,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tarmarches,The Tarmarches,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Aeornia,Clan of Skye ,,Grand Principality of Onica,,7,Kingdom of Aeornia,"5,264.19",Grand Principality of Onica,"4,300.00",Clan of Skye ,"7,387.50",Mébian Confederation,"4,300.00",Elyen-Mev,"4,450.00",Alapadana,"2,186.25",Khyxwuz,"4,462.50",,,,,,,,,,,,,,,,,"32,350.44",1.05,"33,967.96",1,1,1,7
Akali,Akali,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,5,Goldmongers,"3,222.00",The Trade Families of Kemakmura,"12,369.00",Mizarina,"2,908.75",Dinasygan,"3,831.25",,,,,,,,,,,,,,,,,,,,,,,"22,331.00",1.00,"22,331.00",0,0,0,4
Commonwealth of Gonaria,Commonwealth of Gonaria,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Zakheira,,,,,9,Second State of Los,"4,300.00",Stryaxina,"4,006.25",Amethyst Clan,"2,606.25",Drionn Galith,"4,730.00",Visjido,"4,300.00",Sarmatai Confederation,"4,170.00",The Safeguard,"4,730.00",,,,,,,,,,,,,,,,,"28,842.50",0.95,"27,400.38",1,0,0,7
The Nema Pact,The Nema Pact,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Pólitonskóron,,6,Pólitonskóron,"7,896.28",Nāšā Qaḏmāyā,"3,870.00",Tavir,"3,062.50",,,,,,,,,,,,,,,,,,,,,,,,,"14,828.78",0.95,"14,087.34",0,0,1,3
Order of The Radiance,Order of The Radiance,Holy Kingdom of Scripts,,,,,,,,Mercantile,1.00,54.16%,54.16%,17.91%,17.91%,0.00%,8.33%,,,None,125.00%,FALSE,FALSE,TRUE,FALSE,FALSE,Enzla,Scriptism,,,,,,8,Kingdom of Gloria,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,300.00",0.95,"4,085.00",0,0,0,1
Clankar Cog,Clankar Cog,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The House,,,Kaug-Põhja,,8,Kaug-Põhja,"2,650.00",The House,"4,152.50",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,802.50",0.95,"6,462.38",1,0,1,2
Naga Wangjo,Naga Wangjo,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Council of Dehurkjols,Council of Dehurkjols,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Goldmongers, Tetoth Kegeth",,,,,9,Goldmongers,"3,222.00",Tetóth Kegeth,"4,859.25",Brotherhood of Dwarves,"3,062.50",Akalikania,"3,368.75",Scarcojiu,"2,186.25",,,,,,,,,,,,,,,,,,,,,"16,698.75",0.95,"15,863.81",2,0,0,5
The Second Temple,The Second Temple,,"47,583.13","302,859.88",15.71%,"40,755.00","130,308.75",31.28%,9.40%,,,,,0.00%,,0.00%,,,,,,,,,,,,,Natalor,Rokmar Camp,,,,6,Pólitonskóron,"7,896.28",Nāšā Qaḏmāyā,"3,870.00",HlérHeim,"3,050.00",Pavellion,"4,785.63",Khyxwuz,"4,462.50",Rokmar Camp,"3,475.00",,,,,,,,,,,,,,,,,,,"27,539.41",1.25,"34,424.26",1,1,0,6
Dinasygan,Dinasygan,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Glasrhaidd,Ceridwyn Teulu,,,,9,Forge of Aarde,"3,200.31",Vitten,"3,368.75",United Federation of Malam States,"3,870.00",Ceridwyn Teulu,"5,053.75",Adelaar Legioen,"8,508.50",Akali,"5,078.91",Glasrhaidd,"3,368.75",Sajuanelhi,"9,603.75",,,,,,,,,,,,,,,"42,052.72",0.75,"31,539.54",1,1,0,8
Môr Oer,Môr Oer,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Neonian Kuningate,Neonian Kuningate,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Holy Kingdom of Scripts,,Terrum Aetheri,,11,Holy Kingdom of Scripts,"4,166.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,166.25",0.75,"3,124.69",0,1,1,1
Luminus,Luminus,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The Dukedom of Sylicia,Hui Kai,,Lisanos,Kingdom of the Kettlelands,8,Hadastan Commenwealth,"8,503.69",Kingdom of the Kettlelands,"2,650.00",Kingdom of Lyroa,"3,368.75",Nuanta,"3,475.00",Zarkone,"3,887.50",Hui Kai,"11,231.83",The Free Cities of Cupiditas,"18,141.00",High City of Tirsil,"9,718.50",,,,,,,,,,,,,,,"60,976.26",0.95,"57,927.45",1,1,2,8
The Free Cities of Cupiditas,The Free Cities of Cupiditas,,"44,667.19","378,463.67",11.80%,"12,873.44","71,447.06",18.02%,5.96%,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,Lisanos,Nuanta,Hui Kai,11,Free City of Zephon,"10,947.60",Hui Kai,"11,231.83",Nummum,"11,853.63",High City of Tirsil,"9,718.50",City State of Kido,"9,313.56",Nuanta,"3,475.00",Serenissima Res Publica Di Ghalivi,"8,098.75",Hadastan Commenwealth,"8,503.69",Mercati Emporium,"6,360.00",Unified Republic of Kaiarau,"4,287.50",Luminus,"3,062.50",,,,,,,,,"86,852.55",0.95,"82,509.92",0,1,2,11
Elyen-Mev,Elyen-Mev,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Aeornia,,,,,9,Imperial Theocracy of Borbenska,"2,100.00",Kingdom of Aeornia,"5,264.19",Lauzydos,"4,730.00",Clan of Skye ,"7,387.50",The Tarmarches,"5,060.00",The Tribes of C’tis,"3,062.50",Ceavia,"3,337.50",,,,,,,,,,,,,,,,,"30,941.69",0.95,"29,394.60",1,0,0,7
Murenman,Murenman,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Alderdorf,Scientarium,The Lakarish Kingdom of Olkmania,,,8,The Lakarish Kingdom of Olkmania,"6,156.25",Nournourlant,"4,462.50",Alderdorf,"3,445.00",Scientarium,"13,156.00",,,,,,,,,,,,,,,,,,,,,,,"27,219.75",0.95,"25,858.76",1,2,0,4
Confederate of Caoilinn,Confederate of Caoilinn,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
The House,The House,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Kompani, Frystdömet, Clankar Cog",,,Zastita,The Jokers,6,Stortingr Republik af Frystdömet,"8,835.00",Zastita,"2,800.00",Imperial Theocracy of Borbenska,"2,100.00",Clankar Cog,"2,650.00",Principality of Skanderborg,"6,221.31",The Jokers,"2,252.50",,,,,,,,,,,,,,,,,,,"24,858.81",1.25,"31,073.52",3,0,2,6
Holy Council of Axhaea,Holy Council of Axhaea,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Velken Bulwark,Pucanje,The Gilded City,Pucanje,6,The Gilded City,"4,709.38",Velken Bulwark,"4,300.00",I’Hamon,"2,915.00",Lauzydos,"4,730.00",Hanza Trade Republic,"8,758.75",,,,,,,,,,,,,,,,,,,,,"25,413.13",1.05,"26,683.78",0,2,2,5
Xiboda,Xiboda,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The Tribes of C'tis,Lauzydos,,,,7,Hanza Trade Republic,"8,758.75",The Tribes of C’tis,"3,062.50",Araybattahya ,"3,475.00",Lauzydos,"4,730.00",,,,,,,,,,,,,,,,,,,,,,,"20,026.25",1.05,"21,027.56",1,1,0,4
The Sinere Theocracy,The Sinere Theocracy,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Rosefire Dynasty,,,,,4,I’Hamon,"2,915.00",Rosefire Dynasty,"3,284.38",Stratavia,"2,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"8,199.38",1.05,"8,609.34",1,0,0,3
Rosefire Dynasty,Rosefire Dynasty,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The Sinere Theocracy,,,,,6,HlérHeim,"3,050.00",The Sinere Theocracy,"4,049.38",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,099.38",1.25,"8,874.22",1,0,0,2
The Gilded City,The Gilded City,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Lauzydos,,Holy Council of Axhaea,,8,Velken Bulwark,"4,300.00",Herzogtum Enzla,"4,042.50",Hanza Trade Republic,"8,758.75",Principality of Skanderborg,"6,221.31",Araybattahya ,"3,475.00",Holy Council of Axhaea,"3,533.75",The Republic of Alyvosk,"6,704.50",Meridomus Kalleprii,"4,730.00",,,,,,,,,,,,,,,"41,765.81",0.95,"39,677.52",0,1,1,8
Lysian Republic,Lysian Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Jubal'on,Jubal'on,,,,,,,,,Tributary,,,,0.00%,,0.00%,,,,Both,,,,,,,,,,,,,,8,I’Hamon,"2,915.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,915.00",0.95,"2,769.25",0,0,0,1
Karak Helhein,Karak Helhein,Lună sângeroasă,,,,,,,,Standard,1.00,26.13%,26.13%,21.56%,21.56%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Lumina,Ulnar,,,Akalikania,,,10,Lună sângeroasă,"4,042.50",Brotherhood of Dwarves,"3,062.50",Royal City of Gevero,"5,742.75",Akalikania,"3,368.75",Free City of Zephon,"10,947.60",Goldmongers,"3,222.00",Jalpol,"4,170.00",Sajuanelhi,"9,603.75",,,,,,,,,,,,,,,"44,159.85",0.75,"33,119.89",0,1,0,8
Tribes of Lunaria,Tribes of Lunaria,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Kingdom of Gloria,Kingdom of Gloria,Scientarium,,,,,,,,Standard,1.00,50.59%,50.59%,32.79%,32.79%,0.00%,0.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,FALSE,Scientiarum,Sacrea Scientiae,,,,,,10,Scientarium,"13,156.00",Order of The Radiance,"3,368.75",Novae Aeseriae,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,,,"20,824.75",0.75,"15,618.56",0,0,0,3
Khyxwuz,Khyxwuz,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Clan of Skye, Sarmatai Confederation",,,,,9,Clan of Skye ,"7,387.50",Amethyst Clan,"2,606.25",Grand Principality of Onica,"4,300.00",The Second Temple,"4,821.88",,,The Tarmarches,"5,060.00",Sarmatai Confederation,"4,170.00",,,,,,,,,,,,,,,,,"28,345.63",0.95,"26,928.34",2,0,0,6
Pavellion,Pavellion,Audgunn,,,,,,,,Standard,1.00,84.75%,84.75%,94.05%,18.20%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Audgunn,Verdandi,,,,,,6,Grand Nimbusia,"4,515.00",The Second Temple,"4,821.88",Natałor,"2,150.00",Thys Alari,"4,300.00",The Ruzgaristan Enclave,"5,442.50",,,,,,,,,,,,,,,,,,,,,"21,229.38",1.25,"26,536.72",0,0,0,5
